e    0
O   16
H    1
D    2
T    3
F   19
Cl  35
Br  80
I  127
At 210
He   4
Ne  20
Ar  40
Kr  84
Xe 131
Rn 222
S   32
Se  79
Te 128
Po 209
N   14
P   31
As  75
Sb 122
Bi 209
C   12
Si  28
Ge  73
Sn 119
Pb 207
B   11
Al  27
Ga  70
In 115
Tl 204
Be   9
Mg  24
Ca  40
Sr  88
Ba 137
Ra 226
Li   7
Na  23
K   39
Rb  85
Cs 133
Fr 223
Zn  65
Cd 112
Hg 201
Cu  64
Ag 108
Au 197
Ni  59
Pd 106
Pt 195
Co  59
Rh 103
Ir 192
Fe  56
Ru 101
Os 190
Mn  55
Tc  99
Re 186
Cr  52
Mo  96
W  184
V   51
Nb  93
Ta 181
Ti  48
Zr  91
Hf 178
Ku 255
Sc  45
Y   89
La 139
Ac 227
Ce 140
Pr 141
Nd 144
Pm 145
Sm 150
Eu 152
Gd 157
Tb 159
Dy 163
Ho 165
Er 167
Tm 169
Yb 173
Lu 175
Th 232
Pa 231
U  238
Np 237
Pu 244
Am 243
Cm 247
Bk 247
Cf 251
Es 254
Fm 255
Md 255
No 255
Lr 255
